stop_id,year,average_lateness,stop_lat,stop_lon,cluster,date
136,2024,372.0348258706468,42.32095,-71.056004,0,2024-01-01
150,2024,358.0151274654594,42.342556,-71.057015,0,2024-01-01
151,2024,397.3243575896109,42.342664,-71.056949,0,2024-01-01
180,2024,386.1023158694002,42.31105,-71.05668,0,2024-01-01
187,2024,448.2909765848087,42.341553,-71.083328,0,2024-01-01
188,2024,354.75272185861843,42.34157,-71.083092,0,2024-01-01
190,2024,622.1247550620509,42.358789,-71.056733,0,2024-01-01
214,2024,413.01835443037976,42.351012,-71.043647,0,2024-01-01
236,2024,461.01773981603156,42.359022,-71.052369,0,2024-01-01
258,2024,438.1307313642757,42.332673,-71.05098,0,2024-01-01
268,2024,460.62327989785786,42.331676,-71.029247,0,2024-01-01
286,2024,384.369453559709,42.332782,-71.050957,0,2024-01-01
325,2024,350.36092715231786,42.298197,-71.060956,0,2024-01-01
362,2024,420.1200429546675,42.318764,-71.063583,0,2024-01-01
378,2024,309.09992518622124,42.294378,-71.086043,0,2024-01-01
383,2024,426.7596016126465,42.302768,-71.085185,0,2024-01-01
386,2024,423.39918377442496,42.310509,-71.083162,0,2024-01-01
390,2024,406.77307086226426,42.316257,-71.082891,0,2024-01-01
396,2024,449.66163849438004,42.325547,-71.083166,0,2024-01-01
407,2024,413.3874782081407,42.316227,-71.083032,0,2024-01-01
412,2024,419.13035757018525,42.310421,-71.083262,0,2024-01-01
415,2024,483.0556142775835,42.303293,-71.08537,0,2024-01-01
419,2024,526.8002325957985,42.295595,-71.087913,0,2024-01-01
426,2024,453.18379808933645,42.289943,-71.069975,0,2024-01-01
463,2024,344.5357604295271,42.299691,-71.073911,0,2024-01-01
468,2024,453.49545184051686,42.305459,-71.0807,0,2024-01-01
473,2024,390.9780603769262,42.305298,-71.080324,0,2024-01-01
478,2024,435.7279291013081,42.299101,-71.073547,0,2024-01-01
536,2024,454.88235294117646,42.282077,-71.065378,0,2024-01-01
543,2024,324.9423528678045,42.284982,-71.092672,0,2024-01-01
546,2024,330.761537181141,42.298585,-71.101828,0,2024-01-01
550,2024,349.30817028027496,42.305093,-71.076623,0,2024-01-01
552,2024,380.17660277594183,42.30382,-71.071992,0,2024-01-01
571,2024,344.9634919256815,42.272456,-71.068104,0,2024-01-01
574,2024,453.3215324927255,42.271399,-71.074869,0,2024-01-01
588,2024,385.0905243790248,42.271295,-71.074811,0,2024-01-01
763,2024,394.3212070610687,42.26028,-71.158587,0,2024-01-01
787,2024,421.2204792662808,42.285932,-71.147524,0,2024-01-01
810,2024,465.97811550151977,42.280549,-71.158246,0,2024-01-01
812,2024,445.8141632837167,42.278223,-71.160401,0,2024-01-01
821,2024,472.8381107213143,42.27898,-71.159417,0,2024-01-01
831,2024,540.6365315783397,42.260813,-71.159719,0,2024-01-01
845,2024,567.9757679180888,42.280833,-71.158368,0,2024-01-01
931,2024,355.54436220897134,42.35214,-71.126219,0,2024-01-01
937,2024,398.5877100997693,42.350075,-71.108712,0,2024-01-01
966,2024,347.0554759697761,42.353442,-71.137948,0,2024-01-01
973,2024,357.0117900197483,42.349206,-71.15404,0,2024-01-01
979,2024,368.5134199659947,42.350609,-71.168636,0,2024-01-01
1077,2024,376.7477028463446,42.361858,-71.144012,0,2024-01-01
1084,2024,425.46263110578366,42.349027,-71.153531,0,2024-01-01
1160,2024,424.6299932131084,42.319449,-71.111798,0,2024-01-01
1165,2024,374.0518246325393,42.316446,-71.097563,0,2024-01-01
1187,2024,390.56416221314055,42.315596,-71.098606,0,2024-01-01
1188,2024,537.9485986720198,42.315207,-71.097652,0,2024-01-01
1222,2024,511.45158048306047,42.331191,-71.094468,0,2024-01-01
1241,2024,388.1559684684685,42.351748,-71.067101,0,2024-01-01
1252,2024,398.6453076268784,42.33884,-71.081337,0,2024-01-01
1292,2024,426.36725348529563,42.339199,-71.135066,0,2024-01-01
1325,2024,321.44076317383406,42.31045,-71.091588,0,2024-01-01
1332,2024,346.1497637222828,42.31687,-71.086525,0,2024-01-01
1346,2024,543.8980009932952,42.317285,-71.086546,0,2024-01-01
1354,2024,536.2876984126984,42.310329,-71.091869,0,2024-01-01
1363,2024,414.62142304717713,42.333665,-71.105931,0,2024-01-01
1480,2024,368.4279506075608,42.316363,-71.065765,0,2024-01-01
1497,2024,372.7660417782539,42.325078,-71.074964,0,2024-01-01
1504,2024,452.8570905459388,42.314891,-71.065955,0,2024-01-01
1508,2024,374.18652752755094,42.311094,-71.062621,0,2024-01-01
1515,2024,391.15513468648606,42.303753,-71.071158,0,2024-01-01
1521,2024,345.3725226571059,42.33851,-71.107918,0,2024-01-01
1525,2024,374.68455395403197,42.332805,-71.113834,0,2024-01-01
1533,2024,415.6164745890799,42.329739,-71.128527,0,2024-01-01
1535,2024,436.88799621928166,42.326526,-71.143465,0,2024-01-01
1540,2024,452.773663328925,42.32361,-71.163925,0,2024-01-01
1563,2024,393.3429602888087,42.346694,-71.098982,0,2024-01-01
1576,2024,334.6930060094617,42.324862,-71.075227,0,2024-01-01
1577,2024,500.0691370063384,42.32505,-71.075288,0,2024-01-01
1583,2024,533.667616598318,42.314697,-71.078834,0,2024-01-01
1586,2024,558.7105828539746,42.310143,-71.082173,0,2024-01-01
1587,2024,343.54911433172305,42.303124,-71.08595,0,2024-01-01
1714,2024,440.31249043084176,42.27986,-71.093154,0,2024-01-01
1728,2024,356.88232102531015,42.279387,-71.09285,0,2024-01-01
1731,2024,407.8504758048188,42.284302,-71.091264,0,2024-01-01
1737,2024,448.8183506780998,42.29572,-71.087487,0,2024-01-01
1741,2024,461.288183257795,42.309876,-71.091897,0,2024-01-01
1773,2024,452.24303441816903,42.349273,-71.109993,0,2024-01-01
1775,2024,576.7524623675897,42.346727,-71.105259,0,2024-01-01
1777,2024,510.69444444444446,42.342351,-71.103831,0,2024-01-01
1778,2024,621.0326370757181,42.340455,-71.105828,0,2024-01-01
1779,2024,373.5233262601101,42.338701,-71.107013,0,2024-01-01
1780,2024,656.1602014173816,42.337436,-71.104448,0,2024-01-01
1799,2024,403.61452561955076,42.337523,-71.095101,0,2024-01-01
1804,2024,434.81611077751694,42.339097,-71.106836,0,2024-01-01
1806,2024,670.2933333333333,42.342626,-71.103291,0,2024-01-01
1807,2024,396.86782861292664,42.345214,-71.104266,0,2024-01-01
1808,2024,411.54743687834736,42.3471,-71.105198,0,2024-01-01
1939,2024,421.03735509817835,42.309949,-71.115345,0,2024-01-01
1994,2024,371.23937742168516,42.346188,-71.152449,0,2024-01-01
2187,2024,385.4352365722886,42.390896,-71.156152,0,2024-01-01
2271,2024,403.65807304017886,42.397954,-71.130684,0,2024-01-01
2277,2024,393.24276427797554,42.406066,-71.142554,0,2024-01-01
2439,2024,465.08743778960013,42.373018,-71.100107,0,2024-01-01
2441,2024,452.6385387188063,42.369626,-71.100892,0,2024-01-01
2451,2024,379.0669243986254,42.373437,-71.100422,0,2024-01-01
2460,2024,479.75877456448984,42.388534,-71.118917,0,2024-01-01
2510,2024,399.74753070290046,42.379996,-71.096698,0,2024-01-01
2591,2024,427.1405738736471,42.383284,-71.107022,0,2024-01-01
2634,2024,399.00502527505205,42.403375,-71.127338,0,2024-01-01
2805,2024,367.1215309545593,42.275836,-71.125869,0,2024-01-01
2812,2024,393.183993902439,42.265268,-71.128517,0,2024-01-01
2919,2024,371.15611328574715,42.305519,-71.080507,0,2024-01-01
2922,2024,336.6641957275881,42.301806,-71.086667,0,2024-01-01
2925,2024,393.0301735254025,42.305402,-71.080253,0,2024-01-01
2931,2024,452.13268501123514,42.31118,-71.070077,0,2024-01-01
2933,2024,378.2978695595347,42.317122,-71.064572,0,2024-01-01
2935,2024,414.9597017834519,42.319915,-71.062177,0,2024-01-01
